season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2022,REG,0,JuJu Smith-Schuster,WR,KC,6.46875,3.2295321199802043,8.341481481481482,20.17955702100208,19,27,70.37037037037037,224,0,6.525263157894738,4.8365190313682,1.6887441265265384,00-0033857,John,Smith-Schuster,9,J.Smith-Schuster
2022,REG,0,Robert Woods,WR,TEN,6.453333333333333,3.0336632334788804,9.7945,25.322526435533494,13,20,65,167,1,4.231538461538462,3.8426712909836827,0.3888671705547795,00-0030431,Robert,Woods,2,R.Woods
2022,REG,0,Donovan Peoples-Jones,WR,CLE,6.4437500000000005,2.156157805387813,10.485833333333334,27.48069930222654,12,24,50,141,0,1.5658333333333327,2.821146098862821,-1.2553127655294885,00-0036233,Donovan,Peoples-Jones,11,D.Peoples-Jones
2022,REG,0,Tyreek Hill,WR,MIA,6.402000000000001,3.8820335106964587,10.341860465116278,37.68420517426933,31,43,72.09302325581395,477,2,6.241290322580646,5.251570606842442,0.9897197157382038,00-0033040,Tyreek,Hill,10,T.Hill
2022,REG,0,Tyler Higbee,TE,LAR,6.377999999999999,3.6560379601034394,3.5502631578947375,14.109268129431701,26,38,68.42105263157895,244,0,6.821538461538461,7.191434192622338,-0.36989573108387663,00-0033110,Tyler,Higbee,89,T.Higbee
2022,REG,0,Isaiah Likely,TE,BAL,6.340909090909091,3.953288796859388,6.287272727272727,6.390980917617705,5,11,45.45454545454545,51,0,8.46,7.774446269399095,0.6855537306009056,00-0037838,Isaiah,Likely,80,I.Likely
2022,REG,0,Darren Waller,TE,LV,6.340526315789473,2.3943085977037675,11.116249999999999,21.541728570505782,16,24,66.66666666666666,175,1,3.2668749999999998,3.0231620728659196,0.2437129271340801,00-0031610,Darren,Waller,83,D.Waller
2022,REG,0,Jerry Jeudy,WR,DEN,6.3355,3.4575679567051574,11.163333333333332,22.52921503805643,11,21,52.38095238095239,183,2,8.721818181818183,6.088683496917425,2.6331346849007575,00-0036407,Jerry,Jeudy,10,J.Jeudy
2022,REG,0,Scott Miller,WR,TB,6.328461538461538,2.4102759213466256,13.44153846153846,15.056783910938009,4,13,30.76923076923077,38,0,2.182500000000001,3.259855740374121,-1.07735574037412,00-0035298,Scott,Miller,10,S.Miller
2022,REG,0,Mike Gesicki,TE,MIA,6.322857142857144,3.6618816170524746,7.231,6.1276025998457735,8,10,80,71,1,3.0237500000000006,3.3229987429636907,-0.2992487429636901,00-0034829,Michael,Gesicki,88,M.Gesicki
2022,REG,0,Robert Tonyan,TE,GB,6.320666666666667,4.506882839470123,3.2968750000000004,6.86866845490768,13,16,81.25,106,1,6.144615384615383,7.272287431881479,-1.1276720472660964,00-0033757,Robert,Tonyan,85,R.Tonyan
2022,REG,0,Corey Davis,WR,NYJ,6.303461538461538,3.063665644026687,16.181923076923077,27.913750207331223,15,26,57.692307692307686,261,2,3.5900000000000007,2.4313812899955605,1.1586187100044403,00-0033871,Corey,Davis,84,C.Davis
2022,REG,0,Demarcus Robinson,WR,BAL,6.274,3.089522145535167,9.509,8.787136718569515,5,10,50,41,1,2.228,1.6616117058352757,0.5663882941647245,00-0032775,Demarcus,Robinson,10,D.Robinson
2022,REG,0,Garrett Wilson,WR,NYJ,6.245714285714285,3.0267303252303455,10.32846153846154,26.72482998838945,20,39,51.28205128205128,255,2,3.9494999999999996,3.3770761056424403,0.5724238943575592,00-0037740,Garrett,Wilson,17,G.Wilson
2022,REG,0,Cooper Kupp,WR,LAR,6.233260869565218,3.343570255151057,7.84462962962963,44.30232801355394,42,54,77.77777777777779,402,3,4.207142857142856,3.847969293666579,0.3591735634762774,00-0033908,Cooper,Kupp,10,C.Kupp
2022,REG,0,Parris Campbell,WR,IND,6.1890909090909085,4.119415612436714,5.440833333333334,6.423652105470287,9,12,75,90,0,6.177777777777778,5.7125991165860786,0.4651786611916995,00-0035639,Parris,Campbell,1,P.Campbell
2022,REG,0,Dallas Goedert,TE,PHI,6.1875,4.653271560490223,2.2584210526315793,4.506690192618732,16,20,80,240,1,13.04625,9.806087938602168,3.2401620613978324,00-0034351,Dallas,Goedert,88,D.Goedert
2022,REG,0,Noah Brown,WR,DAL,6.1755555555555555,2.957731239708998,11.146666666666668,28.690728135903456,18,27,66.66666666666666,274,1,4.569444444444445,4.0313362520073595,0.5381081924370852,00-0033591,Noah,Brown,85,N.Brown
2022,REG,0,Terry McLaurin,WR,WAS,6.162962962962963,2.054396029319566,15.788888888888891,31.422063993985365,14,27,51.85185185185185,250,1,5.474999999999999,3.8561792414665317,1.618820758533467,00-0035659,Terry,McLaurin,17,T.McLaurin
